"musicalon_name","musicalon_location","musicalon_date","musicalon_missingdate"
"音乐剧史诗巨作《贝隆夫人》Evita苏州站-学生特惠","苏州 | 苏州文化艺术中心-大剧院","2019.11.01-11.05",""
"音乐剧《贝隆夫人》--石家庄","石家庄 | 石家庄大剧院大剧场","2019.10.05-10.06",""
"中央民族乐团世界首部大型民族器乐剧《玄奘西行》","兰州 | 甘肃大剧院大剧场","2019.10.26-10.27",""
"萧煌奇音乐话剧《遇见自己》一福州站","艺人：萧煌奇","福州 | 福州海峡文化艺术中心","2019.10.01 周二 20:00"
"【昆明剧院 · 大剧场】德国弗洛兹默剧剧团《生命无限好》","昆明 | 昆明剧院","2019.11.02 周六 20:00",""
"经典民族歌剧《洪湖赤卫队》","北京 | 天桥艺术中心-大剧场","2019.10.05-10.06",""
"音乐剧史诗巨制《贝隆夫人》Evita杭州站","杭州 | 杭州大剧院(歌剧院)","2019.11.13-11.17",""
"2019年万科城市话剧季2019青岛·大剧院艺术节 音乐剧《拉赫玛尼诺夫》","青岛 | 青岛大剧院","2019.10.03-10.04",""
"新现场上海高清放映·《悲惨世界25周年纪念演唱会》","上海 | 猫悦上城OmS剧场","2019.09.29-10.28",""
"意大利热那亚卡洛·费利切歌剧院 威尔第歌剧《弄臣》一厦门","厦门 | 闽南大戏院-大剧场","2019.12.29-12.31",""
"新现场-英国皇家歌剧院《茶花女》","兰州 | 甘肃大剧院小剧场","2019.10.26 周六 14:30",""
"音乐剧《芝加哥》 CHICAGO THE MUSICAL","其高超的艺术质量和强烈的表演风格","苏州 | 苏州文化艺术中心-大剧院","2019.12.19-12.22"
"南京市文化消费政府补贴剧目 音乐剧史诗巨作《贝隆夫人》Evita-南京站","南京 | 江苏大剧院歌剧厅","2019.10.23-10.27",""
"周末歌剧 莫扎特经典喜歌剧《女人心》精粹","广州 | 广州大剧院实验剧场","2019.12.14-12.15",""
"华人梦想出品 世界经典音乐剧《妈妈咪呀！》中文版","治疗都市抑郁的开心良药","苏州 | 苏州文化艺术中心-大剧院","2019.10.15-10.20"
"大型多媒体皮影剧《花木兰》","萍乡 | 萍乡安源大剧院大剧场","2019.10.04 周五 19:30",""
"伦敦西区原版音乐剧《玛蒂尔达》 Matilda The Musical-天津","天津 | 天津大剧院歌剧厅","2019.11.12-11.17",""
"法语原版音乐剧《巴黎圣母院》","开启法语音乐剧巅峰之门的钥匙，一生必看的恢弘舞台！","西安 | 别克·陕西大剧院-歌剧厅","2019.12.19-12.22"
"【高清放映】英国国家剧院现场NT－Live《李尔王》 贵阳","贵阳 | 贵阳星光剧场","2019.12.07 周六 19:30",""
"就有戏·2019名家名剧展演季 大型音乐舞台剧《犹太城》","南宁 | 广西文化艺术中心(保利)大剧院","2019.12.07-12.08",""
"英法联合制作-英国TNT剧院原版经典《巴黎圣母院》","昆明 | 云南艺术学院实验剧场","2019.11.24 周日 20:00",""
"2019紫金文化艺术节新创剧目会演—镇江市艺术剧院音乐剧《九九艳阳天》","南京 | 江苏大剧院歌剧厅","2019.10.05 周六 19:30",""
"音乐剧史诗巨作《贝隆夫人》Evita-广州站","一曲风靡全球金曲“阿根廷，别为我哭泣”","广州 | 广州白云国际会议中心世纪大会堂","2019.12.13-12.18"
"独家呈现 --《雪狼湖》主创陈少琪原创音乐剧《爱在星光里》","珠海 | 珠海大剧院歌剧厅","2019.12.21-12.22",""
"大型音乐舞台剧《犹太城》一福州站","福州 | 福州海峡文化艺术中心","2019.11.23-11.24",""
"Mailive音乐剧《拉赫玛尼诺夫》中文版· 武汉站","武汉 | 中南剧场大剧场","2019.10.29-10.30",""
"大型民族舞剧《醒·狮》","银川 | 宁夏人民剧院大剧场","2019.11.09 周六 19:30",""
"【自营演出】先锋互动魔术戏剧《我是谁》","邯郸 | 邯郸大剧院","2019.10.04 周五 19:30",""
"音乐剧《拉赫玛尼诺夫》","西安 | 陕西广电大剧院","2019.10.18-10.19",""
"先锋音乐剧《新·石头记》","成都 | 东郊记忆-声音剧场","2019.09.28 周六",""
"李玉刚诗意歌舞剧《昭君出塞》2019年苏州站","艺人：李玉刚","苏州 | 苏州保利大剧院","2019.11.21-11.22"
"【早鸟特惠】Black Mary Poppins 中文版音乐剧《水曜日》-上海","上海 | 人民大舞台","2019.11.06-11.17",""
"涂鸦古典","北海 | 北海市人民剧场","2019.10.19 周六 20:00",""
"舞剧《花木兰》","上海 | 上海保利大剧院-大剧场","2019.12.18 周三 19:30",""
"音乐剧《马不停蹄的忧伤》（无锡站）","无锡 | 无锡大剧院","2019.12.07-12.08",""
"今生必看之选·世界经典原版音乐剧《猫》CATS -海口","海口 | 海南国际会展中心东方环球大剧院","2019.09.27-10.03",""
"上海黄浦剧场2019国际原版戏剧展映季 伦敦西区现场录制《国王与我》 英文原版、中文字幕）King and I","上海 | 黄浦剧场-中剧场","2019.10.09 周三",""
"“国家艺术基金2019舞台艺术创作资助项目” 大型民族舞剧《醒·狮》","萍乡 | 萍乡安源大剧院大剧场","2019.10.23 周三 19:30",""
"新现场上海高清放映·《茶花女ROH》","上海 | 猫悦上城OmS剧场","2019.10.06-10.30",""
"2019年万科城市话剧季 2019青岛·大剧院艺术节 舞台剧《大话西游之大圣娶亲》","青岛 | 青岛大剧院","2019.10.25-10.26",""
"歌剧《江姐》","哈尔滨 | 哈尔滨青年宫剧场","2019.09.27-09.28",""
"明星版歌剧《党的女儿》","贵阳 | 贵州饭店国际会议中心(北京路)","2019.09.29 周日 20:00",""
"英国皇家莎士比亚剧团现场呈现《驯悍记》","成都 | 西婵峨影巨幕厅","2019.10.20 周日 14:30",""
"舞剧《卡门》","银川 | 宁夏人民剧院大剧场","2020.01.03 周五 19:30",""
"张继钢作品大型原创舞剧《一把酸枣》","重庆 | 重庆大剧院中剧场","2019.11.16-11.17",""
"中央芭蕾舞团——芭蕾舞剧《灰姑娘》","中山 | 中山市文化艺术中心大剧场","2019.11.23-11.24",""
"【中鱼文化】神剧重燃！Black Mary Poppins中文版《水曜日》第二轮-北京","北京 | 北京喜剧院","2019.11.22-12.01",""
"俄罗斯亚历山大红旗歌舞团2019年巡演-佛山","佛山 | 佛山大剧院","2019.11.26 周二 19:30",""
"法语音乐剧《摇滚红与黑》-广州站","或许爱情被感知，被争取，被幻想，唯独不能被成全","广州 | 广州大剧院歌剧厅","2019.11.08-11.09"
"2019年万科城市话剧季 2019青岛·大剧院艺术节《俄罗斯红军歌舞团大型交响歌舞晚会》","青岛 | 青岛大剧院","2019.10.19 周六 19:30",""
"大型民族舞剧《醒·狮》一泉州","泉州 | 泉州大剧院-歌剧厅","2019.10.14-10.15",""
"新现场上海高清放映·《睡美人》","上海 | 猫悦上城OmS剧场","2019.09.29-10.22",""
"2019青岛·大剧院艺术节 舞台剧《秦时明月之夜尽天明》","青岛 | 青岛大剧院","2019.10.11 周五 19:30",""
"大型多媒体皮影剧《花木兰》","南昌 | 江西艺术中心大剧院","2019.10.05 周六 19:45",""
"舞台剧《出租屋》","丽水 | 丽水大剧院","2019.10.04 周五 19:30",""
"音乐剧《拉赫玛尼诺夫》中文版","宁波 | 宁波文化广场大剧院","2019.10.25-10.26",""
"【高清放映系列】莫斯科轻歌剧院·音乐剧《安娜·卡列尼娜》","这部创作于19世纪后半叶沙皇俄国时期的小说","西安 | 别克·陕西大剧院-戏剧厅","2019.10.13 14:30"
"陈少琪原创音乐剧《爱在星光里》一厦门站","厦门 | 厦门嘉庚剧院大剧场","2019.12.14 周六 20:00",""
"二幕芭蕾舞剧《安娜·卡列尼娜》","广州 | 广州友谊剧院","2019.10.27 周日 20:00",""
"狂恋探戈之《我是舞神》","重庆 | 涪陵大剧院","2019.12.10 周二 19:30",""
"中国东方歌舞团大型经典舞剧《兰花花》","南通 | 南通更俗剧院","2019.11.08 周五 19:30",""
"家庭音乐剧《故宫里的大怪兽之吻兽使命》","南昌 | 江西艺术中心大剧院","2019.10.20 周日 19:45",""
"阳光丽都大剧院仿唐歌舞","西安 | 陕西阳光丽都大剧院","2019.09.27-09.30",""
"2019优秀舞台艺术剧目惠民展演：德国弗洛滋默剧剧团演出《生命无限好》","大连 | 大连人民文化俱乐部-大剧场","2019.11.07-11.08",""
"《手影奇妙夜》ANIMARE","上海 | 黄浦剧场-小剧场","2019.11.23-11.24",""
"绛州鼓乐音乐剧《老鼠娶亲》","中山 | 中山市文化艺术中心大剧场","2019.12.21 周六 20:00",""
"新现场上海高清放映·《国王与我》","上海 | 猫悦上城OmS剧场","2019.10.10 周四",""
"西班牙励志动画互动人偶剧《画外奇缘》","兰州 | 甘肃大剧院","2019.10.31-11.03",""
"第二十一届中国上海国际艺术节香港文化周 进念·二十面体 建筑音乐剧场《建筑城市》","《建筑城市》剧目的创作灵感来自意大利建筑师阿道·罗西同名著作","上海 | 上海大剧院-大剧场","2019.11.01-11.02"
"英国国家剧院现场《理查二世》","成都 | 西婵峨影巨幕厅","2019.10.27 周日 14:30",""
"法国艺术启蒙魔术剧《美术馆奇妙夜·星夜》","珠海 | 珠海华发中演大剧院 横琴歌剧厅","2019.11.17 周日",""
"X-LIVE全力呈现：日本剧团 新感线GEKI×CINE系列戏剧影像《蛮幽鬼》","石家庄 | 石家庄大剧院中剧场","2019.11.16 周六 14:30",""
"明湖居《开心甜沫》周末剧场","济南 | 济南明湖居","2019.09.28-10.26",""
"法语音乐剧《摇滚红与黑》-深圳站","深圳 | 南山文体中心剧院大剧院","2019.11.14-11.17",""
"先锋音乐诗剧《不带走一片云彩》","石家庄 | 石家庄人民会堂精英剧场","2019.10.18-11.02",""
"陆家嘴信托邀您观赏 2019青岛·大剧院艺术节闭幕演出 中央歌剧院巨献歌剧《茶花女》","青岛 | 青岛大剧院","2019.11.08-11.09",""
"音乐剧史诗巨作《贝隆夫人》Evita-苏州站","致敬阿根廷前第一夫人伊娃·贝隆传奇跌宕的一生","苏州 | 苏州文化艺术中心","2019.11.01-11.05"
"大型原创功夫主题实景演出《武传奇之霍元甲》-天津","天津 | 津湾大剧院","2019.10.12-11.03",""
"歌剧电影《爱之甘醇》","廊坊 | 廊坊壹佰剧院","2019.10.18 周五 19:00",""
"音乐剧史诗巨作《贝隆夫人》Evita-深圳站","深圳 | 南山文体中心剧院大剧院","2019.12.04-12.08",""
"【中国西昌·大凉山国际戏剧节】 法国冰偶剧《在任何地方》","凉山 | 彝空间","2019.11.23-11.25",""
"大型炫景舞台剧《功夫传奇》","北京 | 红剧场","2019.09.27-10.31",""
"圣诞钜献——法国原版童话音乐剧《卖火柴的小女孩》（无锡站）","无锡 | 无锡大剧院","2019.12.25 周三 19:30",""
"陈少琪原创音乐剧《爱在星光里》","河源 | 桃花水母大剧院","2019.12.18 周三 20:00",""
"《戆逗放映厅》KAPUT","上海 | 黄浦剧场-小剧场","2019.11.29-12.01",""
"英国创意人偶剧《小小云先生》","兰州 | 甘肃大剧院","2019.12.12-12.15",""
"大型多媒体皮影剧《花木兰》","九江 | 武宁剧院","2019.10.06 周日 19:30",""
"2019法语音乐剧《摇滚红与黑》-上海站","现场摇滚乐队打造极致爱情""心理战""","上海 | 上汽上海文化广场","2019.10.05-10.20"
"大型民族舞剧《腊·景迈》","普洱 | 普洱大剧院","2019.10.23-10.24",""
"大型山西说唱剧《解放》","邯郸 | 邯郸大剧院","2019.10.26 周六 19:30",""
"2019新加坡大型魔幻舞台剧《神奇生日会》一厦门","厦门 | 闽南大戏院-大剧场","2019.12.06-12.07",""
"李玉刚诗意歌舞剧《昭君出塞》","艺人：李玉刚","舟山 | 舟山普陀大剧院","2019.11.26 周二 19:30"
"英国国家剧院现场呈现《我的儿子们》","成都 | 西婵峨影巨幕厅","2019.12.01 周日 14:30",""
"舞剧《刘三姐》","河源 | 桃花水母大剧院","2019.11.08 周五 20:00",""
"“天才拉赫的真实人生”-韩国原创音乐剧《拉赫玛尼诺夫》中文版 一厦门站","厦门 | 厦门沧江剧院","2019.11.23 周六 19:30",""
"小丑爆笑喜剧《神奇粉刷匠》","重庆 | 涪陵大剧院","2019.10.12 周六 19:30",""
"【高清放映系列】美国纽约林肯中心制作·音乐剧《国王与我》","百老汇黄金搭档奥斯卡·汉默斯&理查德·罗杰斯经典作品","西安 | 别克·陕西大剧院-戏剧厅","2019.11.17 14:30"
